,2023-07-25 00:00:00+00:00,0,22.28,TRLK,temperature
0,2023-07-25 00:00:00+00:00,0.25,22.27,TRLK,temperature
1,2023-07-25 00:00:00+00:00,0.5,22.29,TRLK,temperature
2,2023-07-25 00:00:00+00:00,0.75,22.3,TRLK,temperature
3,2023-07-25 00:00:00+00:00,1.0,22.31,TRLK,temperature
4,2023-07-25 00:00:00+00:00,1.5,22.3,TRLK,temperature
5,2023-07-25 00:00:00+00:00,2.0,22.3,TRLK,temperature
6,2023-07-25 00:00:00+00:00,2.5,22.31,TRLK,temperature
7,2023-07-25 00:00:00+00:00,3.0,22.32,TRLK,temperature
8,2023-07-25 00:00:00+00:00,3.5,22.3,TRLK,temperature
9,2023-07-25 00:00:00+00:00,4.0,22.24,TRLK,temperature
10,2023-07-25 00:00:00+00:00,5.0,21.93,TRLK,temperature
11,2023-07-25 00:00:00+00:00,6.0,19.92,TRLK,temperature
12,2023-07-25 00:00:00+00:00,7.0,15.77,TRLK,temperature
13,2023-07-25 00:00:00+00:00,8.0,12.99,TRLK,temperature
14,2023-07-25 00:00:00+00:00,9.0,10.62,TRLK,temperature
15,2023-07-25 00:00:00+00:00,10.0,9.24,TRLK,temperature
16,2023-07-25 00:00:00+00:00,11.0,7.99,TRLK,temperature
17,2023-07-25 00:00:00+00:00,12.0,7.44,TRLK,temperature
18,2023-07-25 00:00:00+00:00,13.0,6.56,TRLK,temperature
19,2023-07-25 00:00:00+00:00,14.0,6.23,TRLK,temperature
20,2023-07-25 00:00:00+00:00,16.0,5.68,TRLK,temperature
21,2023-07-25 00:00:00+00:00,20.0,5.11,TRLK,temperature
22,2023-07-25 00:00:00+00:00,25.0,4.75,TRLK,temperature
23,2023-07-25 00:00:00+00:00,30.0,4.53,TRLK,temperature
24,2023-07-25 00:00:00+00:00,0.0,22.28,TRLK,temperature
25,2023-07-25 00:00:00+00:00,0.25,22.27,TRLK,temperature
26,2023-07-25 00:00:00+00:00,0.5,22.29,TRLK,temperature
27,2023-07-25 00:00:00+00:00,0.75,22.3,TRLK,temperature
28,2023-07-25 00:00:00+00:00,1.0,22.31,TRLK,temperature
29,2023-07-25 00:00:00+00:00,1.5,22.3,TRLK,temperature
30,2023-07-25 00:00:00+00:00,2.0,22.3,TRLK,temperature
31,2023-07-25 00:00:00+00:00,2.5,22.31,TRLK,temperature
32,2023-07-25 00:00:00+00:00,3.0,22.32,TRLK,temperature
33,2023-07-25 00:00:00+00:00,3.5,22.3,TRLK,temperature
34,2023-07-25 00:00:00+00:00,4.0,22.24,TRLK,temperature
35,2023-07-25 00:00:00+00:00,5.0,21.93,TRLK,temperature
36,2023-07-25 00:00:00+00:00,6.0,19.92,TRLK,temperature
37,2023-07-25 00:00:00+00:00,7.0,15.77,TRLK,temperature
38,2023-07-25 00:00:00+00:00,8.0,12.99,TRLK,temperature
39,2023-07-25 00:00:00+00:00,9.0,10.62,TRLK,temperature
40,2023-07-25 00:00:00+00:00,10.0,9.24,TRLK,temperature
41,2023-07-25 00:00:00+00:00,11.0,7.99,TRLK,temperature
42,2023-07-25 00:00:00+00:00,12.0,7.44,TRLK,temperature
43,2023-07-25 00:00:00+00:00,13.0,6.56,TRLK,temperature
44,2023-07-25 00:00:00+00:00,14.0,6.23,TRLK,temperature
45,2023-07-25 00:00:00+00:00,16.0,5.68,TRLK,temperature
46,2023-07-25 00:00:00+00:00,20.0,5.11,TRLK,temperature
47,2023-07-25 00:00:00+00:00,25.0,4.75,TRLK,temperature
48,2023-07-25 00:00:00+00:00,30.0,4.53,TRLK,temperature
49,2023-07-26 00:00:00+00:00,0.0,22.49,TRLK,temperature
50,2023-07-26 00:00:00+00:00,0.25,22.5,TRLK,temperature
51,2023-07-26 00:00:00+00:00,0.5,22.5,TRLK,temperature
52,2023-07-26 00:00:00+00:00,0.75,22.5,TRLK,temperature
53,2023-07-26 00:00:00+00:00,1.0,22.51,TRLK,temperature
54,2023-07-26 00:00:00+00:00,1.5,22.5,TRLK,temperature
55,2023-07-26 00:00:00+00:00,2.0,22.5,TRLK,temperature
56,2023-07-26 00:00:00+00:00,2.5,22.51,TRLK,temperature
57,2023-07-26 00:00:00+00:00,3.0,22.53,TRLK,temperature
58,2023-07-26 00:00:00+00:00,3.5,22.51,TRLK,temperature
59,2023-07-26 00:00:00+00:00,4.0,22.49,TRLK,temperature
60,2023-07-26 00:00:00+00:00,5.0,22.49,TRLK,temperature
61,2023-07-26 00:00:00+00:00,6.0,20.2,TRLK,temperature
62,2023-07-26 00:00:00+00:00,7.0,16.36,TRLK,temperature
63,2023-07-26 00:00:00+00:00,8.0,12.46,TRLK,temperature
64,2023-07-26 00:00:00+00:00,9.0,10.53,TRLK,temperature
65,2023-07-26 00:00:00+00:00,10.0,8.76,TRLK,temperature
66,2023-07-26 00:00:00+00:00,11.0,7.8,TRLK,temperature
67,2023-07-26 00:00:00+00:00,12.0,7.26,TRLK,temperature
68,2023-07-26 00:00:00+00:00,13.0,6.57,TRLK,temperature
69,2023-07-26 00:00:00+00:00,14.0,6.25,TRLK,temperature
70,2023-07-26 00:00:00+00:00,16.0,5.73,TRLK,temperature
71,2023-07-26 00:00:00+00:00,20.0,5.1,TRLK,temperature
72,2023-07-26 00:00:00+00:00,25.0,4.75,TRLK,temperature
73,2023-07-26 00:00:00+00:00,30.0,4.52,TRLK,temperature
74,2023-07-27 00:00:00+00:00,0.0,23.22,TRLK,temperature
75,2023-07-27 00:00:00+00:00,0.25,23.27,TRLK,temperature
76,2023-07-27 00:00:00+00:00,0.5,23.24,TRLK,temperature
77,2023-07-27 00:00:00+00:00,0.75,23.24,TRLK,temperature
78,2023-07-27 00:00:00+00:00,1.0,23.25,TRLK,temperature
79,2023-07-27 00:00:00+00:00,1.5,23.23,TRLK,temperature
80,2023-07-27 00:00:00+00:00,2.0,23.19,TRLK,temperature
81,2023-07-27 00:00:00+00:00,2.5,23.11,TRLK,temperature
82,2023-07-27 00:00:00+00:00,3.0,22.68,TRLK,temperature
83,2023-07-27 00:00:00+00:00,3.5,22.38,TRLK,temperature
84,2023-07-27 00:00:00+00:00,4.0,22.33,TRLK,temperature
85,2023-07-27 00:00:00+00:00,5.0,21.75,TRLK,temperature
86,2023-07-27 00:00:00+00:00,6.0,20.18,TRLK,temperature
87,2023-07-27 00:00:00+00:00,7.0,15.26,TRLK,temperature
88,2023-07-27 00:00:00+00:00,8.0,12.86,TRLK,temperature
89,2023-07-27 00:00:00+00:00,9.0,10.53,TRLK,temperature
90,2023-07-27 00:00:00+00:00,10.0,8.91,TRLK,temperature
91,2023-07-27 00:00:00+00:00,11.0,7.7,TRLK,temperature
92,2023-07-27 00:00:00+00:00,12.0,7.28,TRLK,temperature
93,2023-07-27 00:00:00+00:00,13.0,6.63,TRLK,temperature
94,2023-07-27 00:00:00+00:00,14.0,6.33,TRLK,temperature
95,2023-07-27 00:00:00+00:00,16.0,5.75,TRLK,temperature
96,2023-07-27 00:00:00+00:00,20.0,5.26,TRLK,temperature
97,2023-07-27 00:00:00+00:00,25.0,4.77,TRLK,temperature
98,2023-07-27 00:00:00+00:00,30.0,4.59,TRLK,temperature
99,2023-07-28 00:00:00+00:00,0.0,22.77,TRLK,temperature
100,2023-07-28 00:00:00+00:00,0.25,22.75,TRLK,temperature
101,2023-07-28 00:00:00+00:00,0.5,22.78,TRLK,temperature
102,2023-07-28 00:00:00+00:00,0.75,22.78,TRLK,temperature
103,2023-07-28 00:00:00+00:00,1.0,22.79,TRLK,temperature
104,2023-07-28 00:00:00+00:00,1.5,22.78,TRLK,temperature
105,2023-07-28 00:00:00+00:00,2.0,22.79,TRLK,temperature
106,2023-07-28 00:00:00+00:00,2.5,22.8,TRLK,temperature
107,2023-07-28 00:00:00+00:00,3.0,22.8,TRLK,temperature
108,2023-07-28 00:00:00+00:00,3.5,22.77,TRLK,temperature
109,2023-07-28 00:00:00+00:00,4.0,22.6,TRLK,temperature
110,2023-07-28 00:00:00+00:00,5.0,21.86,TRLK,temperature
111,2023-07-28 00:00:00+00:00,6.0,19.76,TRLK,temperature
112,2023-07-28 00:00:00+00:00,7.0,14.87,TRLK,temperature
113,2023-07-28 00:00:00+00:00,8.0,12.21,TRLK,temperature
114,2023-07-28 00:00:00+00:00,9.0,9.99,TRLK,temperature
115,2023-07-28 00:00:00+00:00,10.0,8.92,TRLK,temperature
116,2023-07-28 00:00:00+00:00,11.0,7.97,TRLK,temperature
117,2023-07-28 00:00:00+00:00,12.0,7.48,TRLK,temperature
118,2023-07-28 00:00:00+00:00,13.0,6.81,TRLK,temperature
119,2023-07-28 00:00:00+00:00,14.0,6.53,TRLK,temperature
120,2023-07-28 00:00:00+00:00,16.0,5.82,TRLK,temperature
121,2023-07-28 00:00:00+00:00,20.0,5.14,TRLK,temperature
122,2023-07-28 00:00:00+00:00,25.0,4.75,TRLK,temperature
123,2023-07-28 00:00:00+00:00,30.0,4.55,TRLK,temperature
